48	52	56	60	64	68	72	76	80	84	155	92	96	100	96	96	96	96	100	96	100	100	100	100	96	96	96	96	92	92	92	88	88	84	84	80	80	76	72	135	68	64	64	64	64	64	77	60	40	48	44	40	40	41	48	40	44	113	48	40	44	44	40	40	52	36	40	85	36	40	48	52	40	40	52	48	44	40	40	40	48	44	40	48	48	48	52	40	52	48	44	40	44	44	40	44	45	55	48	48	52	56	60	56	60	60	60	64	68	72	76	80	84	92	100	104	112	120	128	132	132	128	179	124	120	120	120	116	112	125	112	108	104	100	96	92	88	84	80	76	129	68	64	60
6	58	9	9	10	16	12	13	14	15	16	17	18	19	18	18	18	18	19	58	58	19	19	19	18	20	18	18	17	17	17	16	16	15	15	14	14	13	12	11	11	10	10	10	10	10	10	9	62	6	5	4	42	4	6	4	5	7	26	4	5	5	4	4	7	3	4	6	3	4	6	7	2	4	7	37	5	4	4	4	6	5	4	6	6	6	7	4	7	6	5	4	5	5	4	5	5	6	6	6	7	8	9	8	9	69	9	5	11	12	13	14	15	17	19	20	22	24	63	27	27	26	26	25	24	24	24	23	22	22	72	21	20	56	18	17	16	15	14	13	12	11	10	9
36	39	42	45	48	51	54	57	60	63	66	69	72	75	72	72	72	72	75	172	75	75	75	75	72	72	72	72	13	69	69	66	66	63	63	60	60	57	54	51	51	48	48	48	48	48	48	45	26	32	29	26	26	26	32	26	29	35	32	26	29	29	26	26	35	23	26	32	23	26	32	35	26	26	35	32	29	26	26	26	32	29	26	32	32	32	35	26	35	32	118	26	29	29	26	29	33	36	36	36	39	42	45	42	45	45	45	48	87	54	57	60	63	69	75	78	129	90	96	99	99	96	96	93	90	90	90	87	84	84	84	81	78	75	72	69	66	82	60	57	54	51	48	45
42	76	28	30	32	34	36	38	40	72	44	46	48	50	48	48	48	48	50	48	50	56	50	50	48	48	48	48	46	46	69	44	44	42	42	40	40	38	36	34	34	32	32	32	90	32	32	30	18	11	20	18	9	18	28	18	20	24	22	18	20	50	18	18	24	16	18	22	16	18	22	24	18	18	128	22	20	18	18	18	22	20	18	22	22	22	24	18	24	22	20	18	20	20	50	20	75	24	24	24	26	28	30	28	30	30	30	32	34	36	38	40	42	46	50	52	56	60	64	66	66	64	64	62	60	60	60	58	56	56	56	54	164	50	48	46	44	42	40	38	36	34	32	30
32	35	39	41	43	46	48	51	54	57	60	74	66	69	66	66	66	66	69	66	69	109	69	69	66	66	66	126	63	63	63	109	60	57	39	54	54	51	48	46	46	43	43	43	43	43	43	41	23	29	27	23	23	23	29	23	27	33	29	23	27	27	23	23	33	21	23	29	21	23	29	33	23	23	33	188	27	54	23	23	29	27	23	29	29	29	33	23	33	29	27	152	27	27	23	27	29	32	32	32	35	39	41	39	41	41	41	43	46	48	51	54	57	143	69	72	78	84	90	93	93	90	90	87	149	84	84	81	78	78	78	75	72	69	66	63	60	57	54	51	48	46	78	41
28	30	31	34	37	39	42	44	46	48	50	52	54	56	54	27	54	54	56	54	56	56	56	56	54	54	54	54	52	52	52	50	50	48	48	46	46	44	42	39	39	37	37	37	37	37	37	34	21	25	22	21	21	21	25	120	22	26	25	21	22	22	21	21	26	18	21	25	18	21	25	26	21	21	26	25	22	21	21	21	25	22	21	25	25	25	26	21	26	25	22	10.5000000000000	22	22	21	22	26	28	28	28	73	31	34	26	109	89	34	66	39	42	44	46	48	52	56	58	62	66	70	72	72	70	70	68	66	66	66	64	62	62	62	60	58	56	54	52	50	48	46	44	42	39	37	71
28	31	39	37	40	43	109	49	52	55	58	61	64	67	64	64	64	64	229	64	67	67	67	67	64	64	64	64	61	61	61	58	60	55	55	52	75	49	46	43	43	40	40	40	40	40	40	37	22	28	25	22	22	22	28	22	25	31	28	11	25	25	22	101	31	19	22	28	19	22	28	31	22	22	31	28	25	22	22	22	28	95	11	28	28	28	31	158	31	28	25	22	25	25	22	25	25	28	28	28	31	34	37	34	37	136	37	40	43	46	49	52	55	61	25	70	76	82	88	91	91	88	88	85	82	82	82	79	76	76	76	73	70	67	64	61	58	116	52	49	111	43	40	37
26	28	30	46	34	36	38	196	3	44	46	48	50	52	50	25	50	50	34	50	52	52	52	52	50	43	88	50	48	48	48	46	46	44	44	42	84	40	38	36	36	34	34	34	34	34	34	32	22	26	32	141	22	22	26	22	24	28	52	27	143	31	22	11	28	20	22	85	20	22	26	28	22	57	28	26	24	22	22	22	26	24	22	26	26	26	28	22	28	26	24	22	24	24	22	62	24	26	26	26	28	74	5	79	32	32	32	34	36	38	40	42	44	48	52	54	58	62	66	23	68	66	66	64	62	99	62	60	58	58	181.150598751384	56	54	52	50	48	46	44	42	40	91	36	46	32
42	46	50	54	58	86	66	70	74	78	82	86	90	94	90	90	90	90	94	151	94	94	94	94	90	90	126	90	86	86	86	82	82	78	6	74	43	70	66	62	62	29	58	58	58	58	58	54	30	86	101	30	30	30	38	30	34	42	38	30	34	34	30	30	42	26	30	38	27	30	38	42	61	30	42	38	34	70	30	30	38	34	30	38	38	38	105	30	42	38	34	30	48	34	30	34	72	42	42	42	46	50	54	61	54	54	54	58	62	66	70	74	78	86	94	98	106	114	122	126	126	122	122	118	114	114	114	110	106	106	106	102	98	94	90	86	106	78	74	70	66	62	58	54
18	21	70	27	30	33	36	39	42	45	48	51	100	57	54	54	54	54	57	213	57	57	57	57	130	178	54	54	51	51	51	48	48	45	45	42	42	39	58	33	33	30	30	30	30	30	30	27	12	18	15	12	12	12	18	12	15	21	18	12	15	15	12	12	24	9	12	18	106	12	18	21	12	12	21	18	15	12	12	12	18	15	36	18	18	18	21	12	21	18	15	127	15	15	12	15	15	18	18	18	21	24	27	24	27	27	27	30	33	36	39	42	45	51	57	60	111	72	78	81	81	78	121	75	72	72	72	69	66	66	66	63	60	57	54	51	48	45	42	39	36	33	30	27
